City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
323,Abdanan,IR,32.9926,47.4198,48.58,83,0,7.72,clear sky
324,Adana,TR,36.985,35.2881,48.22,57,40,3.44,scattered clouds
325,Maceio,BR,-9.6658,-35.7353,85.44,58,40,16.11,scattered clouds
326,Kismayo,SO,-0.3582,42.5454,78.17,82,82,15.41,broken clouds
327,Werda,BW,-25.2667,23.2833,77.11,50,100,10.8,overcast clouds
328,Adrar,MR,20.5022,-10.0711,71.98,9,11,8.5,few clouds
329,Shache,CN,38.4167,77.2406,25.54,44,7,3.27,clear sky
330,Comodoro Rivadavia,AR,-45.8667,-67.5,60.66,63,20,9.22,few clouds
331,Bulgan,MN,48.8125,103.5347,-4.34,87,11,4.59,few clouds
332,San Quintin,MX,30.4833,-115.95,61.0,26,0,5.39,clear sky
333,Tarifa,ES,36.0139,-5.607,60.75,64,92,11.41,overcast clouds
334,Bereda,ES,43.2686,-7.5406,48.58,100,100,2.15,overcast clouds
335,Norfolk,US,42.1668,-71.2495,34.03,95,100,1.99,mist
336,Cumana,VE,10.4635,-64.1775,81.93,63,5,16.89,clear sky
337,Waipawa,NZ,-41.4122,175.5153,56.03,95,100,12.46,overcast clouds
338,Marica,BR,-22.9194,-42.8186,84.15,86,100,6.78,overcast clouds
339,Yakeshi,CN,49.2833,120.7333,-16.15,97,100,4.47,overcast clouds
340,Krk,HR,45.0258,14.5731,50.67,93,100,17.94,overcast clouds
341,Lebu,CL,-37.6167,-73.65,64.24,75,1,17.47,clear sky
342,Milledgeville,US,33.0801,-83.2321,65.77,92,100,8.52,moderate rain
343,Hualmay,PE,-11.0964,-77.6139,75.56,71,34,11.81,scattered clouds
